index,period,org_code,attendances,breaches,performance,consent
2826,2016-07-01,RGT,10081,2288,0.77,True
2865,2016-07-01,RM1,10303,1080,0.9,True
3941,2016-04-01,RRK,9044,1195,0.87,True
5431,2017-12-01,RJN,4238,1208,0.71,True
5940,2017-11-01,RNZ,3940,209,0.95,True
6727,2017-08-01,RQ3,3801,86,0.98,True
7952,2017-05-01,RBL,8270,2120,0.74,True
8427,2019-03-01,R1K,12753,3178,0.75,True
10489,2018-10-01,RPA,7710,1750,0.77,True
12390,2018-05-01,RA3,4390,348,0.92,True
12463,2018-04-01,RDE,7942,523,0.93,True
