index,period,org_code,attendances,breaches,performance
1,2017-03-01,RF4,21289,2879,0.86
4,2017-03-01,R1H,30210,5902,0.8
9,2017-03-01,RQM,17414,2030,0.88
11,2017-03-01,RJ6,6654,1322,0.8
15,2017-03-01,RVR,12649,473,0.96
17,2017-03-01,RJ1,12385,2092,0.83
21,2017-03-01,RQX,10300,635,0.94
23,2017-03-01,RYJ,10020,2632,0.74
26,2017-03-01,RJZ,17810,4153,0.77
29,2017-03-01,RAX,9239,968,0.9
31,2017-03-01,RJ2,18137,2993,0.83
33,2017-03-01,R1K,12137,4874,0.6
37,2017-03-01,RAP,15077,2170,0.86
41,2017-03-01,RAL,19072,3267,0.83
44,2017-03-01,RJ7,13430,1667,0.88
47,2017-03-01,RAS,5838,1889,0.68
51,2017-03-01,RKE,8528,990,0.88
52,2017-03-01,RRV,12059,1252,0.9
57,2017-03-01,RDD,11981,1075,0.91
58,2017-03-01,RC1,6402,306,0.95
60,2017-03-01,RQ3,5732,173,0.97
61,2017-03-01,RJF,5360,272,0.95
63,2017-03-01,RGT,9567,766,0.92
65,2017-03-01,RFS,6889,631,0.91
67,2017-03-01,RDE,7562,651,0.91
70,2017-03-01,RTG,11780,1773,0.85
74,2017-03-01,RWH,9376,2290,0.76
77,2017-03-01,RLT,6726,799,0.88
80,2017-03-01,RR1,19628,3654,0.81
83,2017-03-01,RQQ,3766,405,0.89
84,2017-03-01,RGQ,7321,560,0.92
86,2017-03-01,RGP,6301,318,0.95
88,2017-03-01,RNQ,7653,1546,0.8
92,2017-03-01,RC9,8814,172,0.98
97,2017-03-01,RQ8,8163,1371,0.83
99,2017-03-01,RD8,7692,887,0.88
102,2017-03-01,RM1,10075,1372,0.86
104,2017-03-01,RGN,7832,993,0.87
106,2017-03-01,RNS,9027,1336,0.85
110,2017-03-01,RX1,15446,3187,0.79
117,2017-03-01,RXK,14665,2828,0.81
120,2017-03-01,RK5,8842,599,0.93
122,2017-03-01,RXW,10371,2217,0.79
126,2017-03-01,RJC,5572,198,0.96
128,2017-03-01,RAJ,8595,680,0.92
131,2017-03-01,RNA,9006,679,0.92
133,2017-03-01,RQW,8737,1935,0.78
134,2017-03-01,RCX,5320,496,0.91
135,2017-03-01,RL4,11505,1651,0.86
137,2017-03-01,RWD,13111,2737,0.79
138,2017-03-01,RRK,10032,1543,0.85
139,2017-03-01,RKB,11986,3213,0.73
142,2017-03-01,RWE,12697,3227,0.75
145,2017-03-01,RJE,15129,4019,0.73
148,2017-03-01,RBK,6360,1986,0.69
151,2017-03-01,RWG,8042,2644,0.67
153,2017-03-01,RGR,5887,419,0.93
154,2017-03-01,RWP,9976,2711,0.73
156,2017-03-01,RLQ,4618,915,0.8
158,2017-03-01,REM,7186,1449,0.8
160,2017-03-01,RCF,5480,379,0.93
161,2017-03-01,RBS,5349,216,0.96
162,2017-03-01,RFF,7146,537,0.92
163,2017-03-01,RXL,7064,2208,0.69
165,2017-03-01,RMC,8492,1563,0.82
167,2017-03-01,RAE,11362,864,0.92
170,2017-03-01,RWY,12967,337,0.97
171,2017-03-01,RW3,13272,2106,0.84
174,2017-03-01,RLN,7844,795,0.9
177,2017-03-01,RJR,6019,922,0.85
179,2017-03-01,RXP,10733,752,0.93
182,2017-03-01,RP5,11271,1035,0.91
184,2017-03-01,RJN,3998,704,0.82
186,2017-03-01,RXR,8923,2562,0.71
189,2017-03-01,RR7,7781,409,0.95
191,2017-03-01,RCD,3975,135,0.97
193,2017-03-01,RWA,11425,690,0.94
196,2017-03-01,RXN,5770,1793,0.69
